ID;Parcela;Incendio;Especie Dominante;CBI Sotobosque;CBI Dosel;CBI Parcela;Geo CBI;CBI Par SS;GeoCBI Par SS;X;Y;MapX;MapY;Lat;Lon;NDVI2017;NDVI2018;NDVI2019;NDVI2020;NDWI2017;NDWI2018;NDWI2019;NDWI2020;NBR2017;NBR2018;NBR2019;NBR2020;B1_2017;B2_2017;B3_2017;B4_2017;B5_2017;B6_2017;B7_2017;B8_2017;B8_2017;B9_2017;B11_2017;B12_2017;B1_2018;B2_2018;B3_2018;B4_2018;B5_2018;B6_2018;B7_2018;B8_2018;B8A_2018;B9_2018;B11_2018;B12_2018;B1_2019;B2_2019;B3_2019;B4_2019;B5_2019;B6_2019;B7_2019;B8_2019;B8A_2019;B9_2019;B11_2019;B12_2019;B1_2020;B2_2020;B3_2020;B4_2020;B5_2020;B6_2020;B7_2020;B8_2020;B8A_2020;B9_2020;B11_2020;B12_2020
1;8;El Perdigadero;Pino Radiata;0.04;1.44;0.51;0.47;0.7;1.03;3191;7095;231880;6129080;-34.945.356;-71.935.852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;83;Las Maquinas;Pino Radiata;1.27;1.44;1.31;1.5;1;0.88;3265;4134;198555.62;6072411.14;-35.446.131;-72.320.955;0.0188;0.0187;-0.0089;-0.0219;0.0087;0.0104;-0.0102;-0.0256;0.0221;0.0281;0.0014;-0.0106;86.086;54.111;96.5677;34.9844;52.14;394.7706;539.3665;437.8923;515.7321;514.5038;189.8214;47.8159;106.9811;37.6019;76.492;2.6038;44.4069;215.5973;368.1182;277.801;340.2144;388.1802;97.3062;-15.3409;81.6723;63.0342;105.5468;80.1645;83.1611;314.5338;437.7534;373.4639;479.2841;491.4839;231.3727;87.9017;92.7831;50.5762;80.0952;82.1047;96.5513;217.0538;377.3514;248.7322;390.3881;348.885;233.277;91.3957
3;84;Las Maquinas;Eucalipto;1.88;1.13;1.63;1.96;1.31;1.22;3227;4133;198175.62;6072421.14;-35.445.926;-72.325.132;0.2472;0.0937;0.0928;0.0822;0.2763;0.12;0.0845;0.0642;0.4234;0.1846;0.1387;0.1102;53.7819;33.9769;146.8791;-5.987;163.2112;1241.1826;1589.5559;1583.8744;1718.1736;1650.0415;13.4327;-701.371;2.4794;-67.4884;-25.4002;-59.4561;-129.2253;429.51;676.6525;705.3026;823.7234;875.2903;-187.7534;-452.5305;60.5334;-1.8534;25.7014;8.2807;-0.1459;575.0853;845.8386;856.2916;960.9373;976.0234;136.5006;-162.811;100.1129;6.2961;-2.9384;-45.2857;-123.4617;437.4537;681.9882;642.9785;780.0626;807.938;71.3928;-172.5569
4;86;Las Maquinas;Esclerofilo;0.68;0.68;0.68;0.63;0.56;0.36;3414;4118;200045.62;6072571.14;-35.445.141;-72.304.506;0.0253;-0.0012;-0.043;-0.0846;0.0554;-0.033;-0.0331;-0.0452;0.0982;-0.0379;-0.0499;-0.0747;107.6887;178.8534;259.5354;366.1942;458.1658;636.2432;679.3226;788.3391;702.5345;878.4003;750.8336;368.0702;85.5044;48.8071;13.6744;-37.2272;29.17;89.764;76.2545;74.4244;73.1007;126.4143;346.5303;274.4303;36.024;47.6389;35.3278;60.6349;-26.9194;-81.5692;-189.7524;-225.624;-125.9824;-220.8281;4.8003;101.9435;43.3745;50.7728;40.1309;93.9247;-52.4395;-247.3499;-407.6134;-390.7931;-332.5248;-394.7668;-75.415;123.9171
5;101;Las Maquinas;Pino Radiata;0.9;0.69;0.84;1.01;0.71;0.74;3696;4245;202865.62;6071301.14;-35.457.420;-72.273.948;-0.0381;-0.0251;-0.0342;-0.0387;-0.0324;-0.0205;-0.0295;-0.0343;-0.0306;-0.0094;-0.0304;-0.0241;68.9399;91.1283;76.7901;99.8855;30.5342;63.3903;66.4248;-39.7161;0.8057;77.0469;137.0427;95.224;136.5882;96.947;134.0074;122.5734;108.6092;302.0936;346.933;299.8616;352.0311;480.6997;213.7051;87.0415;82.6323;73.005;99.5079;113.504;97.9982;176.1525;273.4387;293.2632;254.6067;274.1165;246.9561;146.5058;115.4852;84.6336;176.7683;177.2096;177.6343;482.2261;622.5363;637.6119;658.6249;640.0149;390.2421;185.0861
6;103;Las Maquinas;Eucalipto;0.49;1.19;0.66;0.89;0.55;0.76;4728;5029;213185.62;6063461.14;-35.531.032;-72.163.163;0.2472;0.0522;0.0141;-0.0022;0.241;0.0526;0.0026;-0.0098;0.355;0.1023;0.0408;0.006;90.4066;38.6228;108.4016;-117.9893;79.4327;1092.001;1399.5576;1551.2904;1502.4047;1436.6411;-30.4031;-589.6252;54.6784;2.853;43.0532;-35.3906;23.0616;187.2993;380.3032;454.8838;511.416;766.3529;-31.0311;-269.7062;119.1464;107.0602;209.4995;141.1273;261.9343;555.4202;693.1459;857.2499;803.8615;897.1621;476.7474;126.5132;101.1218;142.6903;202.0896;153.5718;270.6238;568.413;711.7186;769.6993;768.1353;478.6991;478.8821;201.6395
7;104;Las Maquinas;Eucalipto;0.79;1.25;0.94;1.06;0.87;1.03;3268;4141;198585.62;6072341.14;-35.446.770;-72.320.651;0.2534;0.1645;0.1056;0.0705;0.2741;0.1586;0.0934;0.066;0.3966;0.2248;0.1394;0.0888;26.9502;28.5925;135.6895;14.8542;223.767;1211.9906;1554.0564;1723.8323;1768.5264;1710.4968;86.9897;-546.107;-3.8039;-46.7971;-16.455;-107.2414;-30.467;599.348;929.6438;1096.8606;1095.5815;1067.9614;-94.8013;-419.9732;61.2838;36.1311;78.6967;52.5236;131.4879;694.2457;976.903;1133.8785;1172.3333;1141.6246;288.0707;-37.1087;103.0061;68.8509;95.9635;73.7481;95.6819;533.7096;810.3748;970.6608;941.6509;896.171;284.3884;46.9503
8;105;Las Maquinas;Esclerofilo;0.29;0.29;0.29;0.32;0.27;0.31;3694;4239;202845.62;6071361.14;-35.456.874;-72.274.146;0.0702;0.0366;-0.0045;-0.0246;0.056;-0.0187;-0.0339;-0.0521;0.1109;-0.0212;-0.0486;-0.0704;109.0762;100.6124;226.6508;185.2467;441.5369;763.5272;806.0723;882.1497;903.321;904.2377;660.6836;219.7648;118.7261;1.3832;19.266;-54.9465;18.8806;144.8875;141.6321;199.1412;159.705;366.2329;343.3761;249.6365;54.7025;-46.0514;-17.033;-14.4882;-50.2008;-108.8599;-68.9071;-177.4277;-48.3756;-85.91;93.2037;150.932;72.2291;-57.0859;-101.1196;-89.3497;-179.8613;-287.3898;-304.2882;-453.8716;-275.7104;-255.1331;-8.3157;113.4446
9;10;Las Maquinas;Pino Radiata;1.52;1.5;1.51;1.71;1.31;1.37;4723;5040;213135.62;6063351.14;-35.532.008;-72.163.753;0.0397;0.0407;0.0314;0.0112;-0.0087;0.0308;0.0074;-0.0054;0.0426;0.0453;0.0252;0.0058;104.898;75.9843;99.9109;31.1504;119.1715;458.9017;595.3279;610.4857;648.2732;720.1211;425.434;84.4694;119.6068;66.5033;78.5265;4.8926;-2.3457;241.8055;366.6986;484.493;327.192;564.6252;174.9431;25.2777;99.662;28.0003;73.7284;10.0052;38.7997;259.4845;397.4874;400.626;446.7798;615.7135;224.2786;54.6169;116.1286;50.7434;65.4789;49.7593;94.5931;217.171;405.5659;433.1095;443.7477;569.6387;301.6586;123.7264
10;11;Las Maquinas;Pino Radiata;0.46;0.81;0.58;0.44;0.74;0.81;3259;4153;198495.62;6072221.14;-35.447.823;-72.321.686;-0.0193;-0.009;-0.0297;-0.0378;0.0063;-0.0111;-0.0375;-0.0319;-0.0074;0.003;-0.0175;-0.0286;67.3014;90.6607;144.5668;135.3473;94.0076;301.4069;443.1171;576.059;439.606;215.3123;231.793;134.3112;133.5115;107.7676;159.004;109.3934;105.7467;285.7028;446.8458;484.3779;394.5679;330.8091;259.6976;87.9882;108.9088;111.0174;171.9671;154.9146;145.5364;386.5265;526.6062;541.7196;544.9492;389.719;381.0552;154.3383;116.9603;115.7786;189.5886;180.663;194.2592;431.1304;610.1643;639.8846;635.1533;468.4135;398.4915;198.552
